x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.9591836734693877,-0.2653061224489796,-0.6366536489947683,-0.679937781026614,0.04,6.8
-0.9591836734693877,-0.22448979591836735,-0.6940262919856173,-0.7374648318302748,0.04,6.26
-0.9591836734693877,-0.1836734693877551,-0.7407779586760684,-0.7854040408333267,0.04,6.02
-0.9591836734693877,-0.14285714285714285,-0.7781853626939786,-0.8237554080357673,0.05,5.86
-0.9591836734693877,-0.10204081632653061,-0.8065264867831617,-0.8525189334375985,0.05,5.7
-0.9591836734693877,-0.061224489795918366,-0.8244400297640503,-0.8716946170388188,0.05,5.73
-0.9591836734693877,-0.02040816326530612,-0.8324001846693136,-0.8812824588394291,0.05,5.87
-0.9591836734693877,0.02040816326530612,-0.8329843730512622,-0.8812824588394291,0.05,5.8
-0.9591836734693877,0.061224489795918366,-0.8242931617057453,-0.8716946170388188,0.05,5.75
-0.9591836734693877,0.10204081632653061,-0.8056810172389912,-0.8525189334375985,0.05,5.81
-0.9591836734693877,0.14285714285714285,-0.7784306272546585,-0.8237554080357673,0.05,5.82
-0.9591836734693877,0.1836734693877551,-0.7421103073742318,-0.7854040408333267,0.04,5.83
-0.9591836734693877,0.22448979591836735,-0.6947343135864705,-0.7374648318302748,0.04,6.15
-0.9591836734693877,0.2653061224489796,-0.6369998776526803,-0.679937781026614,0.04,6.74
-0.9183673469387755,-0.3877551020408163,-0.33796957880258727,-0.3603090549005939,0.02,6.61
-0.9183673469387755,-0.3469387755102041,-0.4195672240355842,-0.44292769169308704,0.02,5.57
-0.9183673469387755,-0.30612244897959184,-0.4874773382816177,-0.5163664799530807,0.03,5.93
-0.9183673469387755,-0.2653061224489796,-0.5513422016949744,-0.5806254196805752,0.03,5.31
-0.9183673469387755,-0.22448979591836735,-0.600492604487395,-0.6357045108755707,0.04,5.86
-0.9183673469387755,-0.1836734693877551,-0.6436042204016057,-0.681603753538067,0.04,5.9
-0.9183673469387755,-0.14285714285714285,-0.6801545269167747,-0.7183231476680632,0.04,5.61
-0.9183673469387755,-0.10204081632653061,-0.7050072775915048,-0.745862693265561,0.04,5.8
-0.9183673469387755,-0.061224489795918366,-0.7213999569118154,-0.7642223903305596,0.04,5.94
-0.9183673469387755,-0.02040816326530612,-0.7300788968808994,-0.7734022388630589,0.04,5.93
-0.9183673469387755,0.02040816326530612,-0.7279468287613293,-0.7734022388630589,0.05,6.24
-0.9183673469387755,0.061224489795918366,-0.7206761516658595,-0.7642223903305596,0.04,6.04
-0.9183673469387755,0.10204081632653061,-0.7054700161886137,-0.745862693265561,0.04,5.73
