x position,y position,Simulation Output (V),Analytical Output (V),Absolute error (%),Relative error (%)
-0.9591836734693877,-0.2653061224489796,4.464678337493041e8,1.7988407452465087e8,2.6658375922e8,59.71
-0.9591836734693877,-0.22448979591836735,5.717758592656853e8,5.524939534207553e8,1.928190584e7,3.37
-0.9591836734693877,-0.1836734693877551,6.928809544386702e8,8.600869225091597e8,1.6720596807e8,24.13
-0.9591836734693877,-0.14285714285714285,8.013641802834636e8,1.104236564654438e9,3.0287238437e8,37.79
-0.9591836734693877,-0.10204081632653061,8.770832049739183e8,1.2862181233684635e9,4.0913491839e8,46.65
-0.9591836734693877,-0.061224489795918366,9.26970873678984e8,1.4069978683692045e9,4.8002699469e8,51.78
-0.9591836734693877,-0.02040816326530612,9.727590134405043e8,1.4672247691863327e9,4.9446575575e8,50.83
-0.9591836734693877,0.02040816326530612,9.589609902372491e8,1.4672247691863327e9,5.0826377895e8,53.0
-0.9591836734693877,0.061224489795918366,9.575168639991331e8,1.4069978683692045e9,4.4948100437e8,46.94
-0.9591836734693877,0.10204081632653061,8.974287471754224e8,1.2862181233684635e9,3.8878937619e8,43.32
-0.9591836734693877,0.14285714285714285,8.054808502325261e8,1.104236564654438e9,2.9875571442e8,37.09
-0.9591836734693877,0.1836734693877551,6.896067978689731e8,8.600869225091597e8,1.7048012464e8,24.72
-0.9591836734693877,0.22448979591836735,5.889490761713917e8,5.524939534207553e8,3.645512275e7,6.19
-0.9591836734693877,0.2653061224489796,4.311692086249051e8,1.7988407452465087e8,2.512851341e8,58.28
-0.9183673469387755,-0.3877551020408163,4.14825424976428e8,1.1741391802150528e8,2.9741150695e8,71.7
-0.9183673469387755,-0.3469387755102041,6.346537032480623e8,6.758506284841367e8,4.119692524e7,6.49
-0.9183673469387755,-0.30612244897959184,8.322287822912828e8,1.1650050854720416e9,3.3277630318e8,39.99
-0.9183673469387755,-0.2653061224489796,1.0428113154983526e9,1.587351644485123e9,5.4454032899e8,52.22
-0.9183673469387755,-0.22448979591836735,1.2118114084143465e9,1.9451024910986006e9,7.3329108268e8,60.51
-0.9183673469387755,-0.1836734693877551,1.376910056254314e9,2.240190661294267e9,8.6328060504e8,62.7
-0.9183673469387755,-0.14285714285714285,1.4852448548274894e9,2.4742542396744275e9,9.8900938485e8,66.59
-0.9183673469387755,-0.10204081632653061,1.5893385742263885e9,2.648622220617637e9,1.05928364639e9,66.65
-0.9183673469387755,-0.061224489795918366,1.6338101363433263e9,2.764302506498654e9,1.13049237016e9,69.19
-0.9183673469387755,-0.02040816326530612,1.6458600325952928e9,2.8219724751225696e9,1.17611244253e9,71.46
-0.9183673469387755,0.02040816326530612,1.6525707795734212e9,2.8219724751225696e9,1.16940169555e9,70.76
-0.9183673469387755,0.061224489795918366,1.630632350989968e9,2.764302506498654e9,1.13367015551e9,69.52
-0.9183673469387755,0.10204081632653061,1.545795461625711e9,2.648622220617637e9,1.10282675899e9,71.34
-0.9183673469387755,0.14285714285714285,1.4647739590007195e9,2.4742542396744275e9,1.00948028067e9,68.92
-0.9183673469387755,0.1836734693877551,1.340255304872623e9,2.240190661294267e9,8.9993535642e8,67.15
-0.9183673469387755,0.22448979591836735,1.2244031740596592e9,1.9451024910986006e9,7.2069931704e8,58.86
-0.9183673469387755,0.2653061224489796,1.0580109509204333e9,1.587351644485123e9,5.2934069356e8,50.03
-0.9183673469387755,0.30612244897959184,8.517778552034156e8,1.1650050854720416e9,3.1322723027e8,36.77
-0.9183673469387755,0.3469387755102041,6.136924815262522e8,6.758506284841367e8,6.215814696e7,10.13
-0.9183673469387755,0.3877551020408163,4.080537204366953e8,1.1741391802150528e8,2.9063980242e8,71.23
-0.8775510204081632,-0.46938775510204084,4.2425877260017335e8,1.7988407452179307e8,2.4437469808e8,57.6
-0.8775510204081632,-0.42857142857142855,6.997864255425025e8,8.600869224939002e8,1.6030049695e8,22.91
-0.8775510204081632,-0.3877551020408163,9.722354601989038e8,1.46722476915733e9,4.9498930896e8,50.91
-0.8775510204081632,-0.3469387755102041,1.2506325160504737e9,2.0043419982094734e9,7.5370948216e8,60.27
-0.8775510204081632,-0.30612244897959184,1.5150809163046591e9,2.474254239646638e9,9.5917332334e8,63.31
-0.8775510204081632,-0.2653061224489796,1.6800336896152923e9,2.8795286960540257e9,1.19949500644e9,71.4
-0.8775510204081632,-0.22448979591836735,1.884601371495049e9,3.2224646125907264e9,1.3378632411e9,70.99
-0.8775510204081632,-0.1836734693877551,2.0498253246392338e9,3.505074383402615e9,1.45524905876e9,70.99
-0.8775510204081632,-0.14285714285714285,2.201659468949142e9,3.72906584308926e9,1.52740637414e9,69.38
-0.8775510204081632,-0.10204081632653061,2.2005362888814154e9,3.8958263216518035e9,1.69529003277e9,77.04
-0.8775510204081632,-0.061224489795918366,2.375050430303178e9,4.0064090368496284e9,1.63135860655e9,68.69
-0.8775510204081632,-0.02040816326530612,2.339242893748916e9,4.0615223535007753e9,1.72227945975e9,73.63
-0.8775510204081632,0.02040816326530612,2.363915322582635e9,4.0615223535007753e9,1.69760703092e9,71.81
-0.8775510204081632,0.061224489795918366,2.2746964764541807e9,4.0064090368496284e9,1.7317125604e9,76.13
-0.8775510204081632,0.10204081632653061,2.2728746092389836e9,3.8958263216518035e9,1.62295171241e9,71.41
-0.8775510204081632,0.14285714285714285,2.1642521150150747e9,3.72906584308926e9,1.56481372807e9,72.3
-0.8775510204081632,0.1836734693877551,2.0421911745614827e9,3.505074383402615e9,1.46288320884e9,71.63
-0.8775510204081632,0.22448979591836735,1.8918906911555932e9,3.2224646125907264e9,1.33057392144e9,70.33
-0.8775510204081632,0.2653061224489796,1.6732899941277707e9,2.8795286960540257e9,1.20623870193e9,72.09
-0.8775510204081632,0.30612244897959184,1.4856179264986787e9,2.474254239646638e9,9.8863631315e8,66.55
-0.8775510204081632,0.3469387755102041,1.227904848817337e9,2.0043419982094734e9,7.7643714939e8,63.23
-0.8775510204081632,0.3877551020408163,9.963560115764252e8,1.46722476915733e9,4.7086875758e8,47.26
-0.8775510204081632,0.42857142857142855,7.156843196975434e8,8.600869224939002e8,1.444026028e8,20.18
-0.8775510204081632,0.46938775510204084,4.114854121333571e8,1.7988407452179307e8,2.3160133761e8,56.28
-0.8367346938775511,-0.5102040816326531,6.286832415613058e8,7.373694067533557e8,1.0868616519e8,17.29
-0.8367346938775511,-0.46938775510204084,9.502430574181521e8,1.4672247691456394e9,5.1698171173e8,54.41
-0.8367346938775511,-0.42857142857142855,1.2717092621801667e9,2.122488620069239e9,8.5077935789e8,66.9
-0.8367346938775511,-0.3877551020408163,1.5638816126209588e9,2.7065190140721383e9,1.14263740145e9,73.06
-0.8367346938775511,-0.3469387755102041,1.9301620666082726e9,3.2224646125542364e9,1.29230254595e9,66.95
-0.8367346938775511,-0.30612244897959184,2.15744901454281e9,3.6732436437754083e9,1.51579462923e9,70.26
-0.8367346938775511,-0.2653061224489796,2.326684480993995e9,4.061522353443948e9,1.73483787245e9,74.56
-0.8367346938775511,-0.22448979591836735,2.5139376107103844e9,4.389693411503969e9,1.87575580079e9,74.61
-0.8367346938775511,-0.1836734693877551,2.7457179993245544e9,4.659854838251598e9,1.91413683893e9,69.71
-0.8367346938775511,-0.14285714285714285,2.772923300166751e9,4.873790092639188e9,2.10086679247e9,75.76
-0.8367346938775511,-0.10204081632653061,2.913367050612384e9,5.032950014792777e9,2.11958296418e9,72.75
-0.8367346938775511,-0.061224489795918366,2.9960734258218203e9,5.138437321328929e9,2.14236389551e9,71.51
